ImageId,Label
0,9
1,3
2,2
3,9
4,9
5,1
6,0
7,2
8,1
9,9
10,5
11,2
12,5
13,9
14,6
15,6
16,1
17,4
18,4
19,6
20,5
21,3
22,1
23,4
24,8
25,6
26,2
27,0
28,8
29,5
30,1
31,6
32,4
33,6
34,2
35,4
36,6
37,6
38,7
39,9
40,4
41,5
42,8
43,9
44,1
45,4
46,9
47,9
48,7
49,1
50,9
51,5
52,9
53,9
54,7
55,4
56,8
57,9
58,6
59,6
60,8
61,0
62,3
63,0
64,5
65,3
66,1
67,4
68,4
69,6
70,7
71,1
72,1
73,7
74,5
75,0
76,9
77,8
78,9
79,8
80,2
81,8
82,8
83,5
84,3
85,0
86,6
87,7
88,7
89,4
90,5
91,0
92,7
93,5
94,9
95,0
96,4
97,5
98,1
99,4
100,3
101,6
102,8
103,2
104,8
105,8
106,6
107,3
108,2
109,5
110,5
111,3
112,4
113,7
114,3
115,6
116,3
117,5
118,9
119,0
120,2
121,2
122,8
123,1
124,8
125,9
126,7
127,0
128,0
129,9
130,8
131,6
132,2
133,9
134,1
135,3
136,8
137,2
138,2
139,5
140,2
141,7
142,1
143,1
144,3
145,7
146,4
147,0
148,7
149,6
150,2
151,0
152,0
153,9
154,4
155,0
156,2
157,9
158,4
159,4
160,6
161,0
162,2
163,4
164,3
165,0
166,0
167,3
168,8
169,2
170,6
171,7
172,9
173,3
174,7
175,1
176,1
177,3
178,2
179,0
180,5
181,2
182,7
183,2
184,2
185,7
186,8
187,1
188,0
189,8
190,1
191,9
192,1
193,6
194,6
195,3
196,9
197,5
198,8
199,2
200,2
201,3
202,4
203,9
204,6
205,3
206,7
207,2
208,0
209,7
210,1
211,0
212,2
213,5
214,2
215,2
216,9
217,1
218,1
219,6
220,3
221,2
222,8
223,5
224,2
225,9
226,6
227,0
228,7
229,4
230,5
231,5
232,3
233,4
234,8
235,0
236,5
237,1
238,6
239,9
240,8
241,3
242,9
243,8
244,7
245,8
246,8
247,8
248,0
249,7
250,4
251,6
252,8
253,6
254,0
255,7
256,4
257,1
258,8
259,0
260,5
261,3
262,4
263,7
264,1
265,0
266,5
267,4
268,2
269,7
270,6
271,8
272,5
273,4
274,6
275,1
276,6
277,3
278,9
279,1
280,8
281,4
282,1
283,5
284,6
285,2
286,9
287,1
288,7
289,7
290,5
291,9
292,6
293,4
294,2
295,9
296,1
297,4
298,2
299,0
300,2
301,8
302,2
303,6
304,7
305,2
306,5
307,2
308,2
309,4
310,0
311,7
312,8
313,8
314,4
315,3
316,1
317,2
318,1
319,5
320,1
321,1
322,1
323,5
324,7
325,6
326,7
327,3
328,0
329,1
330,0
331,1
332,6
333,9
334,6
335,0
336,0
337,8
338,3
339,4
340,4
341,6
342,4
343,6
344,1
345,8
346,8
347,2
348,6
349,4
350,7
351,1
352,9
353,2
354,1
355,4
356,4
357,3
358,6
359,1
360,5
361,5
362,2
363,6
364,0
365,2
366,6
367,8
368,1
369,0
370,4
371,4
372,0
373,1
374,3
375,2
376,4
377,0
378,2
379,9
380,5
381,7
382,0
383,5
384,1
385,1
386,4
387,2
388,1
389,1
390,2
391,7
392,2
393,4
394,8
395,3
396,0
397,3
398,6
399,9
400,4
401,5
402,4
403,3
404,4
405,8
406,6
407,0
408,7
409,7
410,3
411,9
412,8
413,6
414,2
415,4
416,0
417,0
418,8
419,0
420,9
421,2
422,4
423,0
424,7
425,7
426,4
427,5
428,1
429,7
430,0
431,5
432,1
433,1
434,7
435,1
436,6
437,3
438,7
439,1
440,2
441,6
442,4
443,7
444,8
445,5
446,6
447,2
448,7
449,7
450,8
451,4
452,1
453,1
454,3
455,1
456,6
457,7
458,6
459,7
460,5
461,4
462,6
463,3
464,2
465,6
466,0
467,8
468,2
469,8
470,6
471,8
472,8
473,1
474,7
475,2
476,2
477,0
478,5
479,7
480,1
481,0
482,6
483,8
484,1
485,7
486,9
487,8
488,5
489,8
490,4
491,9
492,1
493,5
494,3
495,6
496,6
497,5
498,2
499,0
500,9
501,3
502,3
503,8
504,7
505,2
506,2
507,7
508,7
509,0
510,2
511,8
512,3
513,5
514,7
515,7
516,3
517,9
518,2
519,0
520,6
521,7
522,1
523,6
524,1
525,4
526,0
527,7
