,vector_b
1,-0.917998924
2,-0.880980385
3,-0.863308173
4,-0.89732834
5,-0.883435636
6,-0.842251036
7,-0.868943727
8,-0.867788805
9,-0.860688742
10,-0.837753435
11,-0.927526088
12,-0.905773676
13,-0.886751829
14,-0.854417647
15,-0.858503796
16,-0.868539115
17,-0.824406549
18,-0.851500764
19,-0.819707109
20,-0.84462331
21,-0.884441454
22,-0.891099806
23,-0.867114604
24,-0.849807895
25,-0.867909877
26,-0.876531899
27,-0.8691127
28,-0.876123916
29,-0.854890963
30,-0.876410394
31,-0.536207097
32,-0.546329261
33,-0.475042879
34,-0.506291706
35,-0.539557797
36,-0.509017993
37,-0.484807032
38,-0.482735711
39,-0.512346313
40,-0.484914397
